Class,Accuracy,Samples
Arabika Enrekang,11.76470588235294,17
Liberika Sumedang,23.52941176470588,17
Arabika Papua Lembah Kamu,35.294117647058826,17
Arabika Dolok Sanggul,35.294117647058826,17
Robusta Bali Pupuan,35.294117647058826,17
Robusta Pagar Alam,38.095238095238095,21
Arabika Solok Radjo,41.17647058823529,17
Arabika Wanoja Kamojang,47.05882352941176,17
Arabika Sipirok,52.94117647058824,17
Arabika Mangalayang,52.94117647058824,17
Arabika Bali Kintamani,52.94117647058824,17
Arabika Tanah Karo,52.94117647058824,17
Arabika Malabar Mountain,52.94117647058824,17
Arabika Ijen,52.94117647058824,17
Arabika Simalungun,58.82352941176471,17
Arabika Bali Ulian,58.82352941176471,17
Arabika Golosera Wae Rebo,58.82352941176471,17
Robusta Temanggung,58.82352941176471,17
Robusta Dampit,58.82352941176471,17
Arabika Lintong,58.82352941176471,17
Arabika Bali Batu Karu,58.82352941176471,17
Arabika Papua Yahukimo,64.70588235294117,17
Arabika Java Temanggung,64.70588235294117,17
Robusta Pinogu,64.70588235294117,17
Robusta Semeru,64.70588235294117,17
Arabika Aceh Gayo,64.70588235294117,17
Arabika Java Puntang,69.23076923076923,13
Arabika Semendo,70.58823529411765,17
Arabika Arjuno Budug Asu,70.58823529411765,17
Arabika Argo Puro,70.58823529411765,17
Arabika Flores Bajawa,70.58823529411765,17
Arabika Papua Moanemani,70.58823529411765,17
Arabika Java Garut,70.58823529411765,17
Arabika Toraja,70.58823529411765,17
Arabika Tolu Batak,70.58823529411765,17
Arabika Surambu Pulu Pulu,70.58823529411765,17
Arabika Lintong Onan Ganjang,70.58823529411765,17
Arabika Mandailing,70.58823529411765,17
Arabika Sulawesi Karangan Angin,70.58823529411765,17
Arabika Flores Manggarai,76.47058823529412,17
Arabika Wamena,76.47058823529412,17
Robusta Flores Manggarai,76.47058823529412,17
Robusta Sidikalang,76.47058823529412,17
Arabika Kerinci Kayu Aro,76.47058823529412,17
Robusta Java GKawi,82.35294117647058,17
Robusta Gayo,82.35294117647058,17
Arabika Sindoro,82.35294117647058,17
Arabika Latimojong,88.23529411764706,17
Arabika Toraja Bolokan,88.23529411764706,17
Robusta Bali,88.23529411764706,17
Robusta Lampung,94.11764705882352,17
Liberika Lampung,94.11764705882352,17
Arabika Java Ciwidey,100.0,17
Liberika Temanggung,100.0,17
