Class,Accuracy,Samples
Arabika Enrekang,29.411764705882355,17
Liberika Sumedang,29.411764705882355,17
Arabika Solok Radjo,35.294117647058826,17
Robusta Pagar Alam,42.857142857142854,21
Arabika Java Garut,52.94117647058824,17
Robusta Temanggung,52.94117647058824,17
Arabika Java Puntang,53.84615384615385,13
Arabika Papua Lembah Kamu,58.82352941176471,17
Arabika Tolu Batak,58.82352941176471,17
Robusta Bali Pupuan,58.82352941176471,17
Arabika Bali Ulian,64.70588235294117,17
Arabika Mangalayang,64.70588235294117,17
Arabika Lintong Onan Ganjang,64.70588235294117,17
Arabika Bali Kintamani,64.70588235294117,17
Arabika Flores Manggarai,70.58823529411765,17
Arabika Ijen,70.58823529411765,17
Arabika Malabar Mountain,70.58823529411765,17
Arabika Toraja,70.58823529411765,17
Arabika Tanah Karo,70.58823529411765,17
Arabika Papua Yahukimo,70.58823529411765,17
Arabika Java Temanggung,70.58823529411765,17
Arabika Dolok Sanggul,70.58823529411765,17
Arabika Arjuno Budug Asu,70.58823529411765,17
Arabika Bali Batu Karu,70.58823529411765,17
Robusta Java GKawi,76.47058823529412,17
Arabika Semendo,76.47058823529412,17
Arabika Lintong,76.47058823529412,17
Arabika Sipirok,76.47058823529412,17
Robusta Pinogu,76.47058823529412,17
Arabika Surambu Pulu Pulu,76.47058823529412,17
Arabika Wanoja Kamojang,76.47058823529412,17
Arabika Argo Puro,82.35294117647058,17
Arabika Golosera Wae Rebo,82.35294117647058,17
Arabika Flores Bajawa,82.35294117647058,17
Arabika Simalungun,82.35294117647058,17
Robusta Gayo,82.35294117647058,17
Robusta Lampung,82.35294117647058,17
Arabika Sulawesi Karangan Angin,82.35294117647058,17
Arabika Papua Moanemani,82.35294117647058,17
Arabika Kerinci Kayu Aro,88.23529411764706,17
Arabika Aceh Gayo,88.23529411764706,17
Robusta Dampit,88.23529411764706,17
Arabika Wamena,88.23529411764706,17
Liberika Lampung,88.23529411764706,17
Robusta Semeru,94.11764705882352,17
Arabika Sindoro,94.11764705882352,17
Arabika Latimojong,94.11764705882352,17
Arabika Mandailing,94.11764705882352,17
Robusta Flores Manggarai,94.11764705882352,17
Robusta Sidikalang,94.11764705882352,17
Arabika Toraja Bolokan,94.11764705882352,17
Arabika Java Ciwidey,100.0,17
Liberika Temanggung,100.0,17
Robusta Bali,100.0,17
