Class,Accuracy,Samples
Arabika Enrekang,5.88235294117647,17
Arabika Java Garut,5.88235294117647,17
Arabika Mangalayang,5.88235294117647,17
Arabika Toraja,5.88235294117647,17
Liberika Sumedang,11.76470588235294,17
Robusta Bali Pupuan,11.76470588235294,17
Arabika Solok Radjo,11.76470588235294,17
Arabika Java Temanggung,17.647058823529413,17
Arabika Lintong Onan Ganjang,17.647058823529413,17
Arabika Papua Lembah Kamu,17.647058823529413,17
Arabika Flores Manggarai,17.647058823529413,17
Liberika Lampung,17.647058823529413,17
Arabika Surambu Pulu Pulu,17.647058823529413,17
Arabika Bali Ulian,17.647058823529413,17
Arabika Kerinci Kayu Aro,23.52941176470588,17
Arabika Bali Batu Karu,23.52941176470588,17
Arabika Sipirok,23.52941176470588,17
Robusta Pagar Alam,23.809523809523807,21
Arabika Lintong,29.411764705882355,17
Arabika Wamena,29.411764705882355,17
Arabika Malabar Mountain,29.411764705882355,17
Arabika Semendo,35.294117647058826,17
Arabika Tanah Karo,35.294117647058826,17
Robusta Temanggung,35.294117647058826,17
Arabika Toraja Bolokan,35.294117647058826,17
Arabika Sulawesi Karangan Angin,35.294117647058826,17
Arabika Golosera Wae Rebo,35.294117647058826,17
Arabika Argo Puro,35.294117647058826,17
Arabika Bali Kintamani,35.294117647058826,17
Arabika Java Puntang,38.46153846153847,13
Arabika Sindoro,41.17647058823529,17
Arabika Dolok Sanggul,41.17647058823529,17
Robusta Java GKawi,41.17647058823529,17
Arabika Latimojong,41.17647058823529,17
Arabika Wanoja Kamojang,41.17647058823529,17
Arabika Arjuno Budug Asu,47.05882352941176,17
Arabika Tolu Batak,47.05882352941176,17
Arabika Simalungun,47.05882352941176,17
Arabika Aceh Gayo,47.05882352941176,17
Arabika Mandailing,52.94117647058824,17
Robusta Sidikalang,52.94117647058824,17
Robusta Semeru,52.94117647058824,17
Robusta Pinogu,52.94117647058824,17
Robusta Flores Manggarai,52.94117647058824,17
Arabika Ijen,58.82352941176471,17
Robusta Lampung,58.82352941176471,17
Robusta Gayo,58.82352941176471,17
Arabika Papua Yahukimo,58.82352941176471,17
Arabika Flores Bajawa,64.70588235294117,17
Arabika Papua Moanemani,70.58823529411765,17
Robusta Dampit,76.47058823529412,17
Robusta Bali,76.47058823529412,17
Arabika Java Ciwidey,82.35294117647058,17
Liberika Temanggung,82.35294117647058,17
