Class,Accuracy,Samples
Arabika Bali Batu Karu,35.294117647058826,17
Arabika Semendo,35.294117647058826,17
Arabika Sulawesi Karangan Angin,47.05882352941176,17
Arabika Surambu Pulu Pulu,47.05882352941176,17
Arabika Mangalayang,52.94117647058824,17
Arabika Java Garut,58.82352941176471,17
Arabika Enrekang,58.82352941176471,17
Arabika Java Puntang,61.53846153846154,13
Arabika Tanah Karo,64.70588235294117,17
Arabika Bali Ulian,64.70588235294117,17
Arabika Malabar Mountain,70.58823529411765,17
Arabika Dolok Sanggul,70.58823529411765,17
Liberika Sumedang,70.58823529411765,17
Arabika Wamena,70.58823529411765,17
Arabika Sindoro,70.58823529411765,17
Robusta Pagar Alam,71.42857142857143,21
Arabika Toraja,76.47058823529412,17
Robusta Bali Pupuan,76.47058823529412,17
Liberika Lampung,76.47058823529412,17
Arabika Sipirok,76.47058823529412,17
Arabika Solok Radjo,76.47058823529412,17
Arabika Papua Lembah Kamu,76.47058823529412,17
Robusta Temanggung,76.47058823529412,17
Robusta Sidikalang,82.35294117647058,17
Arabika Papua Moanemani,82.35294117647058,17
Robusta Flores Manggarai,82.35294117647058,17
Arabika Bali Kintamani,82.35294117647058,17
Arabika Lintong,82.35294117647058,17
Robusta Dampit,88.23529411764706,17
Arabika Flores Manggarai,88.23529411764706,17
Arabika Java Temanggung,88.23529411764706,17
Robusta Lampung,88.23529411764706,17
Arabika Wanoja Kamojang,88.23529411764706,17
Robusta Bali,88.23529411764706,17
Robusta Pinogu,94.11764705882352,17
Arabika Arjuno Budug Asu,94.11764705882352,17
Arabika Latimojong,94.11764705882352,17
Robusta Java GKawi,94.11764705882352,17
Arabika Argo Puro,94.11764705882352,17
Arabika Simalungun,94.11764705882352,17
Arabika Golosera Wae Rebo,94.11764705882352,17
Arabika Flores Bajawa,94.11764705882352,17
Arabika Mandailing,94.11764705882352,17
Robusta Gayo,94.11764705882352,17
Arabika Lintong Onan Ganjang,94.11764705882352,17
Arabika Papua Yahukimo,94.11764705882352,17
Arabika Ijen,100.0,17
Arabika Java Ciwidey,100.0,17
Arabika Kerinci Kayu Aro,100.0,17
Arabika Aceh Gayo,100.0,17
Arabika Tolu Batak,100.0,17
Arabika Toraja Bolokan,100.0,17
Liberika Temanggung,100.0,17
Robusta Semeru,100.0,17
