Class,Accuracy,Samples
Arabika Bali Batu Karu,29.411764705882355,17
Arabika Flores Manggarai,29.411764705882355,17
Arabika Java Garut,47.05882352941176,17
Arabika Mangalayang,58.82352941176471,17
Arabika Semendo,64.70588235294117,17
Robusta Dampit,64.70588235294117,17
Arabika Java Puntang,69.23076923076923,13
Arabika Java Temanggung,70.58823529411765,17
Arabika Lintong Onan Ganjang,70.58823529411765,17
Arabika Papua Lembah Kamu,70.58823529411765,17
Arabika Dolok Sanggul,70.58823529411765,17
Arabika Solok Radjo,70.58823529411765,17
Arabika Tanah Karo,70.58823529411765,17
Arabika Enrekang,70.58823529411765,17
Robusta Pagar Alam,71.42857142857143,21
Arabika Bali Kintamani,76.47058823529412,17
Arabika Wanoja Kamojang,76.47058823529412,17
Arabika Kerinci Kayu Aro,82.35294117647058,17
Robusta Bali Pupuan,82.35294117647058,17
Liberika Sumedang,82.35294117647058,17
Arabika Sipirok,82.35294117647058,17
Arabika Bali Ulian,82.35294117647058,17
Arabika Sindoro,82.35294117647058,17
Robusta Temanggung,82.35294117647058,17
Arabika Wamena,82.35294117647058,17
Robusta Sidikalang,82.35294117647058,17
Arabika Malabar Mountain,82.35294117647058,17
Arabika Mandailing,88.23529411764706,17
Arabika Toraja,88.23529411764706,17
Liberika Lampung,88.23529411764706,17
Robusta Java GKawi,88.23529411764706,17
Arabika Papua Moanemani,88.23529411764706,17
Robusta Flores Manggarai,88.23529411764706,17
Robusta Lampung,94.11764705882352,17
Arabika Lintong,94.11764705882352,17
Arabika Latimojong,94.11764705882352,17
Liberika Temanggung,94.11764705882352,17
Robusta Gayo,94.11764705882352,17
Arabika Surambu Pulu Pulu,94.11764705882352,17
Arabika Tolu Batak,94.11764705882352,17
Arabika Flores Bajawa,94.11764705882352,17
Arabika Arjuno Budug Asu,100.0,17
Arabika Papua Yahukimo,100.0,17
Arabika Aceh Gayo,100.0,17
Arabika Argo Puro,100.0,17
Arabika Golosera Wae Rebo,100.0,17
Arabika Ijen,100.0,17
Arabika Java Ciwidey,100.0,17
Arabika Sulawesi Karangan Angin,100.0,17
Arabika Simalungun,100.0,17
Robusta Bali,100.0,17
Arabika Toraja Bolokan,100.0,17
Robusta Semeru,100.0,17
Robusta Pinogu,100.0,17
